** File generated by WinEP - 8/26/2020 (11:00p) **

Time    	Vx      
0.000000	-0.000000
0.025000	0.025527
0.050000	0.072689
0.075000	0.123408
0.100000	0.192322
0.125000	0.286990
0.150000	0.411343
0.175000	0.561988
0.200000	0.737309
0.225000	0.933209
0.250000	1.146627
0.275000	1.374098
0.300000	1.612936
0.325000	1.860702
0.350000	2.115118
0.375000	2.374522
0.400000	2.637597
0.425000	2.903369
0.450000	3.170984
0.475000	3.439828
0.500000	3.709358
0.525000	3.979247
0.550000	4.249181
0.575000	4.518983
0.600000	4.788444
0.625000	5.057486
0.650000	5.325991
0.675000	5.593943
0.700000	5.861269
0.725000	6.127993
0.750000	6.394074
0.775000	6.659558
0.800000	6.924414
0.825000	7.188691
0.850000	7.452364
0.875000	7.715485
0.900000	7.978026
0.925000	8.240037
0.950000	8.501491
0.975000	8.762433
1.000000	9.022836
1.025000	9.282741
1.050000	9.542117
1.075000	9.801004
1.100000	10.059366
1.125000	10.317240
1.150000	10.574587
1.175000	10.831439
1.200000	11.087756
1.225000	11.343567
1.250000	11.598826
1.275000	11.853563
1.300000	12.107732
1.325000	12.361362
1.350000	12.614408
1.375000	12.866898
1.400000	13.118789
1.425000	13.370109
1.450000	13.620814
1.475000	13.870934
1.500000	14.120423
1.525000	14.369313
1.550000	14.617559
1.575000	14.865191
1.600000	15.112164
1.625000	15.358509
1.650000	15.604184
1.675000	15.849217
1.700000	16.093567
1.725000	16.337261
1.750000	16.580261
1.775000	16.822592
1.800000	17.064217
1.825000	17.305162
1.850000	17.545391
1.875000	17.784937
1.900000	18.023766
1.925000	18.261917
1.950000	18.499361
1.975000	18.736145
2.000000	18.972244
2.025000	19.207706
2.050000	19.442518
2.075000	19.676729
2.100000	19.910328
2.125000	20.143368
2.150000	20.375826
2.175000	20.607750
2.200000	20.839111
2.225000	21.069944
2.250000	21.300217
2.275000	21.529953
2.300000	21.759115
2.325000	21.987719
2.350000	22.215721
2.375000	22.443132
