** File generated by WinEP - 8/26/2020 (10:59p) **

Time    	Vx      
0.000000	79.999794
0.025000	79.911865
0.050000	79.654846
0.075000	79.289162
0.100000	78.853378
0.125000	78.367691
0.150000	77.846207
0.175000	77.300072
0.200000	76.736389
0.225000	76.161827
0.250000	75.580238
0.275000	74.994865
0.300000	74.407448
0.325000	73.818909
0.350000	73.229759
0.375000	72.640350
0.400000	72.050888
0.425000	71.461555
0.450000	70.872505
0.475000	70.283836
0.500000	69.695480
0.525000	69.107384
0.550000	68.519455
0.575000	67.931686
0.600000	67.344048
0.625000	66.756561
0.650000	66.169243
0.675000	65.582169
0.700000	64.995346
0.725000	64.408798
0.750000	63.822521
0.775000	63.236542
0.800000	62.650841
0.825000	62.065414
0.850000	61.480240
0.875000	60.895359
0.900000	60.310745
0.925000	59.726410
0.950000	59.142326
0.975000	58.558537
1.000000	57.975018
1.025000	57.391769
1.050000	56.808773
1.075000	56.226059
1.100000	55.643612
1.125000	55.061428
1.150000	54.479485
1.175000	53.897823
1.200000	53.316418
1.225000	52.735275
1.250000	52.154369
1.275000	51.573734
1.300000	50.993359
1.325000	50.413239
1.350000	49.833359
1.375000	49.253754
1.400000	48.674404
1.425000	48.095314
1.450000	47.516460
1.475000	46.937885
1.500000	46.359558
1.525000	45.781490
1.550000	45.203651
1.575000	44.626083
1.600000	44.048759
1.625000	43.471687
1.650000	42.894840
1.675000	42.318253
1.700000	41.741909
1.725000	41.165806
1.750000	40.589920
1.775000	40.014290
1.800000	39.438896
1.825000	38.863735
1.850000	38.288792
1.875000	37.714195
1.900000	37.140079
1.925000	36.566559
1.950000	35.993656
1.975000	35.421391
2.000000	34.849590
2.025000	34.278015
2.050000	33.706825
2.075000	33.136459
2.100000	32.567146
2.125000	31.999043
2.150000	31.432215
2.175000	30.866739
2.200000	30.302608
2.225000	29.739822
2.250000	29.178341
2.275000	28.618139
2.300000	28.059099
2.325000	27.501110
2.350000	26.944149
2.375000	26.388287
2.400000	25.833410
2.425000	25.279448
2.450000	24.726381
2.475000	24.174206
2.500000	23.622959
2.525000	23.072725
2.550000	22.523455
2.575000	21.975142
2.600000	21.427681
2.625000	20.881075
2.650000	20.335316
2.675000	19.790405
2.700000	19.246262
2.725000	18.702839
2.750000	18.160057
